Vikram
Varisu
Uyare
Titanic
The Shawshank Redemption
The Matrix
The Lion King
The Godfather
The Dark Knight
Thani Oruvan
Take Off
Sita Ramam
RRR
Queen
Premam
Pathaan
Parasite
PK
Oppenheimer
My Name Is Khan
Minnal Murali
Master
Lucifer
Kaithi
KGF Chapter 2
KGF Chapter 1
Jawan
Jailer
Interstellar
Inception
Hridayam
Gladiator
Gadar 2
Frozen
Forrest Gump
Drishyam
Dilwale Dulhania Le Jayenge
Dangal
Charlie
Barbie
Bangalore Days
Baahubali: The Beginning
Avengers: Endgame
Avatar
Arjun Reddy
Andhadhun
Ala Vaikunthapurramuloo
96
3 Idiots
